DL,UL,Timestamp,content,A,B,C,D
1385.0364,3896.4397,105,"Location[gps 40.137697,-88.270542 acc=16 et=+18h4m32s178ms alt=191.0 vel=31.0 bear=292.9 {Bundle[mParcelledData.dataSize=40]}]",16,191,31,292.9
0,4128.969,106,"Location[gps 40.138413,-88.271917 acc=14 et=+18h4m36s170ms alt=192.0 vel=32.5 bear=298.1 {Bundle[mParcelledData.dataSize=40]}]",14,192,32.5,298.1
0,5541.041,107,"Location[gps 40.139032,-88.273285 acc=10 et=+18h4m40s177ms alt=193.0 vel=32.0 bear=298.5 {Bundle[mParcelledData.dataSize=40]}]",10,193,32,298.5
0,5049.2324,108,"Location[gps 40.139580,-88.274557 acc=11 et=+18h4m44s169ms alt=195.0 vel=31.25 bear=299.9 {Bundle[mParcelledData.dataSize=40]}]",11,195,31.25,299.9
0,1702.1017,109,"Location[gps 40.140201,-88.275797 acc=11 et=+18h4m48s168ms alt=196.0 vel=31.5 bear=303.9 {Bundle[mParcelledData.dataSize=40]}]",11,196,31.5,303.9
1826.3488,5752.721,110,"Location[gps 40.142961,-88.280084 acc=14 et=+18h5m4s169ms alt=185.0 vel=29.25 bear=320.1 {Bundle[mParcelledData.dataSize=40]}]",14,185,29.25,320.1
2623.2498,3872.8606,111,"Location[gps 40.142961,-88.280084 acc=14 et=+18h5m4s169ms alt=185.0 vel=29.25 bear=320.1 {Bundle[mParcelledData.dataSize=40]}]",14,185,29.25,320.1
0,4544.3096,112,"Location[gps 40.144415,-88.281257 acc=11 et=+18h5m11s170ms alt=190.0 vel=21.75 bear=337.5 {Bundle[mParcelledData.dataSize=40]}]",11,190,21.75,337.5
891.33185,4504.33,113,"Location[gps 40.145216,-88.281383 acc=12 et=+18h5m15s183ms alt=189.0 vel=21.75 bear=359.1 {Bundle[mParcelledData.dataSize=40]}]",12,189,21.75,359.1
2683.5122,6790.347,114,"Location[gps 40.146004,-88.281282 acc=12 et=+18h5m19s169ms alt=190.0 vel=21.25 bear=7.0 {Bundle[mParcelledData.dataSize=40]}]",12,190,21.25,7
0,5079.2876,115,"Location[gps 40.147733,-88.281442 acc=13 et=+18h5m29s169ms alt=187.0 vel=16.5 bear=14.2 {Bundle[mParcelledData.dataSize=40]}]",13,187,16.5,14.2
1425.2802,5150.8267,116,"Location[gps 40.147733,-88.281442 acc=13 et=+18h5m29s169ms alt=187.0 vel=16.5 bear=14.2 {Bundle[mParcelledData.dataSize=40]}]",13,187,16.5,14.2
1591.1798,4675.7275,117,"Location[gps 40.148637,-88.280697 acc=11 et=+18h5m36s168ms alt=195.0 vel=19.0 bear=40.0 {Bundle[mParcelledData.dataSize=40]}]",11,195,19,40
8337.572,2852.3242,118,"Location[gps 40.149249,-88.280061 acc=11 et=+18h5m40s171ms alt=195.0 vel=22.0 bear=37.9 {Bundle[mParcelledData.dataSize=40]}]",11,195,22,37.9
6159.0283,3516.43,119,"Location[gps 40.150001,-88.279325 acc=11 et=+18h5m44s168ms alt=192.0 vel=26.5 bear=40.0 {Bundle[mParcelledData.dataSize=40]}]",11,192,26.5,40
8218.359,5040.7104,120,"Location[gps 40.150833,-88.278354 acc=10 et=+18h5m48s169ms alt=199.0 vel=30.0 bear=41.3 {Bundle[mParcelledData.dataSize=40]}]",10,199,30,41.3
7226.7246,4957.0474,121,"Location[gps 40.151648,-88.277476 acc=10 et=+18h5m52s169ms alt=200.0 vel=31.0 bear=41.1 {Bundle[mParcelledData.dataSize=40]}]",10,200,31,41.1
7880.451,4977.7017,122,"Location[gps 40.152542,-88.276503 acc=11 et=+18h5m56s171ms alt=200.0 vel=31.5 bear=41.5 {Bundle[mParcelledData.dataSize=40]}]",11,200,31.5,41.5
7382.3594,4591.858,123,"Location[gps 40.153373,-88.275488 acc=11 et=+18h6m0s169ms alt=198.0 vel=32.0 bear=41.6 {Bundle[mParcelledData.dataSize=40]}]",11,198,32,41.6
5697.2705,4682.8555,124,"Location[gps 40.154228,-88.274529 acc=10 et=+18h6m4s171ms alt=196.0 vel=31.5 bear=41.0 {Bundle[mParcelledData.dataSize=40]}]",10,196,31.5,41
7446.877,4668.6216,125,"Location[gps 40.155068,-88.273596 acc=10 et=+18h6m8s190ms alt=194.0 vel=31.75 bear=40.5 {Bundle[mParcelledData.dataSize=40]}]",10,194,31.75,40.5
